Player,Date,Mins,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,TOV,PF,+/-,PTS,DD,TD,FDP,DKP
2544,2022-01-23,39.9,12.0,22.0,1.0,8.0,8.0,11.0,2.0,9.0,11.0,4.0,2.0,0.0,3.0,4.0,-8.0,33.0,1,0,55.2,57.3
2544,2022-01-25,34.5,14.0,21.0,2.0,8.0,3.0,3.0,0.0,7.0,7.0,6.0,3.0,2.0,0.0,1.0,10.0,33.0,0,0,65.4,61.8
2544,2022-02-05,39.9,13.0,24.0,2.0,7.0,1.0,2.0,3.0,10.0,13.0,10.0,1.0,0.0,3.0,3.0,12.0,29.0,1,1,59.6,64.8
2544,2022-02-08,34.5,11.0,19.0,3.0,7.0,2.0,4.0,0.0,5.0,5.0,8.0,0.0,0.0,4.0,4.0,-25.0,27.0,0,0,41.0,44.8
2544,2022-02-09,36.7,13.0,22.0,3.0,7.0,1.0,1.0,0.0,7.0,7.0,7.0,3.0,0.0,6.0,1.0,-5.0,30.0,0,0,51.9,53.8
2544,2022-02-12,38.4,9.0,27.0,3.0,10.0,5.0,9.0,3.0,12.0,15.0,8.0,0.0,0.0,4.0,3.0,-11.0,26.0,1,0,52.0,57.8
2544,2022-02-16,39.7,14.0,23.0,3.0,8.0,2.0,2.0,1.0,7.0,8.0,6.0,2.0,0.0,3.0,1.0,7.0,33.0,0,0,54.6,56.0
2544,2022-02-25,35.7,6.0,18.0,2.0,8.0,7.0,8.0,1.0,10.0,11.0,3.0,1.0,1.0,6.0,1.0,-4.0,21.0,1,0,38.7,42.8
2544,2022-02-27,35.6,13.0,23.0,1.0,4.0,5.0,5.0,0.0,6.0,6.0,3.0,2.0,2.0,7.0,2.0,-22.0,32.0,0,0,48.7,49.0
2544,2022-03-01,38.2,10.0,18.0,3.0,7.0,3.0,5.0,0.0,12.0,12.0,5.0,1.0,0.0,4.0,2.0,7.0,26.0,1,0,46.9,51.5
2544,2022-03-03,37.1,8.0,18.0,2.0,9.0,8.0,10.0,1.0,7.0,8.0,4.0,0.0,1.0,4.0,2.0,-27.0,26.0,0,0,40.6,43.0
2544,2022-03-05,38.6,19.0,31.0,6.0,11.0,12.0,13.0,2.0,8.0,10.0,3.0,0.0,1.0,4.0,0.0,13.0,56.0,1,0,71.5,77.5
2544,2022-03-09,45.3,9.0,26.0,1.0,9.0,4.0,6.0,2.0,12.0,14.0,12.0,1.0,4.0,5.0,1.0,-17.0,23.0,1,1,67.8,69.5
2544,2022-03-11,35.7,18.0,25.0,6.0,9.0,8.0,8.0,0.0,7.0,7.0,6.0,0.0,1.0,3.0,3.0,22.0,50.0,0,0,67.4,71.3
2544,2022-03-13,30.2,10.0,20.0,5.0,11.0,6.0,7.0,0.0,7.0,7.0,6.0,0.0,1.0,4.0,0.0,-16.0,31.0,0,0,47.4,51.3
2544,2022-03-14,40.3,11.0,19.0,4.0,7.0,4.0,7.0,3.0,6.0,9.0,3.0,0.0,2.0,5.0,4.0,-21.0,30.0,0,0,46.3,49.3
2544,2022-03-16,37.1,8.0,21.0,1.0,8.0,2.0,5.0,0.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,-19.0,19.0,0,0,35.0,35.3
2544,2022-03-18,44.7,15.0,26.0,2.0,7.0,4.0,7.0,4.0,5.0,9.0,7.0,0.0,2.0,3.0,2.0,-5.0,36.0,0,0,60.3,61.3
2544,2022-03-19,35.9,16.0,29.0,4.0,10.0,2.0,3.0,2.0,8.0,10.0,6.0,0.0,0.0,2.0,3.0,1.0,38.0,1,0,57.0,62.0
2544,2022-03-21,40.6,17.0,29.0,0.0,4.0,4.0,4.0,1.0,9.0,10.0,12.0,1.0,1.0,3.0,0.0,9.0,38.0,1,1,71.0,74.0
2544,2022-03-27,41.6,14.0,27.0,7.0,13.0,4.0,6.0,1.0,8.0,9.0,5.0,0.0,1.0,4.0,1.0,-9.0,39.0,0,0,56.3,61.3
2544,2022-04-01,39.5,13.0,23.0,3.0,8.0,9.0,12.0,0.0,8.0,8.0,4.0,1.0,0.0,6.0,3.0,-2.0,38.0,0,0,50.6,54.5
