203458,3700,22.81,20.941,32.6183,13.0017,23.626666666666672,
2199,4600,19.73,19.495,27.0301,12.4299,21.49333333333333,
2200,5600,29.15,24.562,41.1015,17.1985,27.583333333333332,
203530,3500,7.95,8.228,13.356,2.544,9.843333333333334,
202355,7600,32.7,33.855,43.818,21.582,36.876666666666665,
1628389,4600,12.0,13.885,18.96,5.04,16.48275862068966,
203101,3500,17.44,8.914,27.032,7.848,10.629999999999999,
203944,6600,27.69,23.704,37.9353,17.4447,26.173333333333332,
202327,3500,10.14,10.946,16.731,3.549,13.280000000000001,
1628380,3500,12.84,7.731,23.112,2.568,9.886363636363637,
201572,4200,23.82,21.437,34.0626,13.5774,24.153333333333343,
1626257,3500,11.97,10.589,20.2293,3.7107,13.043333333333333,
203124,4300,19.05,17.58,28.0035,10.0965,19.766666666666666,
203994,7500,30.0,27.756,42.6,17.4,31.05666666666667,
203500,6300,31.23,27.108,40.2867,22.1733,29.180000000000007,
202683,4900,26.24,25.629,36.2112,16.2688,28.57666666666667,
