201563,6100,23.87,18.096,40.3403,7.3997,21.7,|1628381,5500,26.14,23.248,35.0276,17.2524,25.410000000000004,
201563,6100,23.87,18.096,40.3403,7.3997,21.7,|200746,8400,39.65,35.49,49.166,30.134,37.84666666666667,
201563,6100,23.87,18.096,40.3403,7.3997,21.7,|202722,3500,17.24,7.262,31.032,3.448,9.616666666666667,
201563,6100,23.87,18.096,40.3403,7.3997,21.7,|203924,3700,17.01,14.281,23.4738,10.5462,16.086666666666662,
201563,6100,23.87,18.096,40.3403,7.3997,21.7,|204001,9100,38.86,36.37,53.2382,24.4818,40.133333333333326,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|203482,7000,30.15,20.328,43.416,16.884,22.876666666666665,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|202324,6400,31.27,24.496,43.778,18.762,27.34333333333333,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|2546,6400,29.8,25.708,37.548,22.052,27.663333333333338,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|1628463,3500,11.52,9.844,19.008,4.032,11.869230769230768,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|203939,4500,22.33,16.062,31.9319,12.7281,18.176666666666666,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|1628467,3500,17.94,11.439,32.1126,3.7674,14.30666666666667,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|1717,5100,23.38,22.694,30.6278,16.1322,24.653333333333332,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|1627733,3500,8.25,9.645,12.7875,3.7125,11.326666666666666,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|201949,5700,26.21,22.478,38.0045,14.4155,25.41666666666666,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|1626204,4000,15.73,20.73,22.022,9.438,23.340000000000007,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|101141,5500,32.51,20.228,46.8144,18.2056,22.64666666666668,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|1628381,5500,26.14,23.248,35.0276,17.2524,25.410000000000004,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|200746,8400,39.65,35.49,49.166,30.134,37.84666666666667,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|202722,3500,17.24,7.262,31.032,3.448,9.616666666666667,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|203924,3700,17.01,14.281,23.4738,10.5462,16.086666666666662,
202335,3500,8.54,6.366,13.8348,3.2452,7.813333333333333,|204001,9100,38.86,36.37,53.2382,24.4818,40.133333333333326,
203482,7000,30.15,20.328,43.416,16.884,22.876666666666665,|202324,6400,31.27,24.496,43.778,18.762,27.34333333333333,
203482,7000,30.15,20.328,43.416,16.884,22.876666666666665,|2546,6400,29.8,25.708,37.548,22.052,27.663333333333338,
203482,7000,30.15,20.328,43.416,16.884,22.876666666666665,|1628463,3500,11.52,9.844,19.008,4.032,11.869230769230768,
203482,7000,30.15,20.328,43.416,16.884,22.876666666666665,|203939,4500,22.33,16.062,31.9319,12.7281,18.176666666666666,
203482,7000,30.15,20.328,43.416,16.884,22.876666666666665,|1628467,3500,17.94,11.439,32.1126,3.7674,14.30666666666667,
