RotoG Proj,30 Game 40th Percentile,RotoG Cell,RotoG Floor,30 Game Average,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|203918,5300,20.65,21.707,28.7035,12.5965,24.083333333333332,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|1628378,7500,34.45,31.415,46.852,22.048,33.74666666666666,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|203468,7300,27.99,30.501,34.9875,20.9925,32.596666666666664,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|201961,4900,19.81,16.426,30.7055,8.9145,18.633333333333333,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|203464,3500,12.17,5.146,21.906,2.434,7.3999999999999995,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|203484,5900,23.79,23.715,31.8786,15.7014,26.19,
1938,3700,14.17,14.005,21.8218,6.5182,16.359999999999996,|202692,3600,15.26,16.4,25.0264,5.4936,19.23333333333334,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|201158,3700,17.63,16.734,25.7398,9.5202,19.086666666666662,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|1628404,3700,15.05,10.208,26.0365,4.0635,12.740000000000002,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|1626192,3500,9.31,9.825,14.896,3.724,11.533333333333331,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|1627854,3500,14.28,10.052,22.9908,5.5692,11.66666666666666,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|1626164,7500,39.45,33.881,52.4685,26.4315,36.970000000000006,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|203584,3500,8.3,9.831,14.525,2.075,12.043333333333333,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|2734,3500,13.31,14.068,19.6988,6.9212,15.946666666666665,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|203918,5300,20.65,21.707,28.7035,12.5965,24.083333333333332,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|1628378,7500,34.45,31.415,46.852,22.048,33.74666666666666,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|203468,7300,27.99,30.501,34.9875,20.9925,32.596666666666664,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|201961,4900,19.81,16.426,30.7055,8.9145,18.633333333333333,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|203464,3500,12.17,5.146,21.906,2.434,7.3999999999999995,
203145,5700,31.22,25.879,42.7714,19.6686,28.809999999999995,|203484,5900,23.79,23.715,31.8786,15.7014,26.19,
